Initializing GLUT...
Initializing OpenGL...
OpenGL Version: 4.6.0 - Build 27.20.100.8682
OpenGL Renderer: Intel(R) HD Graphics 630
Shading Language Version: 4.60 - Build 27.20.100.8682
Loaded 1 spline(s).
Num control points in spline 0: 13.
x: 0.981968 y: 0.043863 z: 0
x: 0.981727 y: 0.0441994 z: 0
x: 0.981483 y: 0.0445361 z: 0
x: 0.981239 y: 0.0448733 z: 0
x: 0.980993 y: 0.0452108 z: 0
x: 0.980746 y: 0.0455486 z: 0
x: 0.980498 y: 0.0458869 z: 0
x: 0.980248 y: 0.0462256 z: 0
x: 0.979997 y: 0.0465646 z: 0
x: 0.979744 y: 0.046904 z: 0
x: 0.979491 y: 0.0472438 z: 0
x: 0.979236 y: 0.047584 z: 0
x: 0.978979 y: 0.0479246 z: 0
x: 0.978722 y: 0.0482656 z: 0
x: 0.978463 y: 0.0486069 z: 0
x: 0.978202 y: 0.0489487 z: 0
x: 0.977941 y: 0.0492908 z: 0
x: 0.977678 y: 0.0496334 z: 0
x: 0.977414 y: 0.0499763 z: 0
x: 0.977148 y: 0.0503197 z: 0
x: 0.976882 y: 0.0506634 z: 0
x: 0.976614 y: 0.0510076 z: 0
x: 0.976345 y: 0.0513521 z: 0
x: 0.976074 y: 0.051697 z: 0
x: 0.975802 y: 0.0520424 z: 0
x: 0.975529 y: 0.0523881 z: 0
x: 0.975255 y: 0.0527343 z: 0
x: 0.97498 y: 0.0530808 z: 0
x: 0.974703 y: 0.0534278 z: 0
x: 0.974425 y: 0.0537752 z: 0
x: 0.974146 y: 0.054123 z: 0
x: 0.973866 y: 0.0544712 z: 0
x: 0.973584 y: 0.0548198 z: 0
x: 0.973302 y: 0.0551688 z: 0
x: 0.973018 y: 0.0555182 z: 0
x: 0.972733 y: 0.055868 z: 0
x: 0.972446 y: 0.0562183 z: 0
x: 0.972159 y: 0.056569 z: 0
x: 0.97187 y: 0.0569201 z: 0
x: 0.97158 y: 0.0572716 z: 0
x: 0.971289 y: 0.0576235 z: 0
x: 0.970997 y: 0.0579759 z: 0
x: 0.970704 y: 0.0583286 z: 0
x: 0.970409 y: 0.0586818 z: 0
x: 0.970114 y: 0.0590355 z: 0
x: 0.969817 y: 0.0593895 z: 0
x: 0.969519 y: 0.059744 z: 0
x: 0.96922 y: 0.0600989 z: 0
x: 0.96892 y: 0.0604542 z: 0
x: 0.968619 y: 0.06081 z: 0
x: 0.968316 y: 0.0611662 z: 0
x: 0.968013 y: 0.0615228 z: 0
x: 0.967708 y: 0.0618798 z: 0
x: 0.967402 y: 0.0622373 z: 0
x: 0.967096 y: 0.0625953 z: 0
x: 0.966788 y: 0.0629536 z: 0
x: 0.966479 y: 0.0633124 z: 0
x: 0.966169 y: 0.0636716 z: 0
x: 0.965858 y: 0.0640313 z: 0
x: 0.965545 y: 0.0643914 z: 0
x: 0.965232 y: 0.064752 z: 0
x: 0.964918 y: 0.065113 z: 0
x: 0.964602 y: 0.0654744 z: 0
x: 0.964286 y: 0.0658363 z: 0
x: 0.963968 y: 0.0661987 z: 0
x: 0.96365 y: 0.0665615 z: 0
x: 0.96333 y: 0.0669247 z: 0
x: 0.96301 y: 0.0672884 z: 0
x: 0.962688 y: 0.0676525 z: 0
x: 0.962365 y: 0.0680171 z: 0
x: 0.962042 y: 0.0683821 z: 0
x: 0.961717 y: 0.0687476 z: 0
x: 0.961391 y: 0.0691136 z: 0
x: 0.961065 y: 0.06948 z: 0
x: 0.960737 y: 0.0698468 z: 0
x: 0.960408 y: 0.0702141 z: 0
x: 0.960079 y: 0.0705819 z: 0
x: 0.959748 y: 0.0709501 z: 0
x: 0.959416 y: 0.0713188 z: 0
x: 0.959084 y: 0.071688 z: 0
x: 0.95875 y: 0.0720576 z: 0
x: 0.958416 y: 0.0724277 z: 0
x: 0.95808 y: 0.0727983 z: 0
x: 0.957744 y: 0.0731693 z: 0
x: 0.957406 y: 0.0735408 z: 0
x: 0.957068 y: 0.0739127 z: 0
x: 0.956729 y: 0.0742851 z: 0
x: 0.956389 y: 0.074658 z: 0
x: 0.956048 y: 0.0750314 z: 0
x: 0.955706 y: 0.0754052 z: 0
x: 0.955363 y: 0.0757796 z: 0
x: 0.955019 y: 0.0761544 z: 0
x: 0.954674 y: 0.0765296 z: 0
x: 0.954329 y: 0.0769054 z: 0
x: 0.953982 y: 0.0772816 z: 0
x: 0.953635 y: 0.0776583 z: 0
x: 0.953286 y: 0.0780355 z: 0
x: 0.952937 y: 0.0784132 z: 0
x: 0.952587 y: 0.0787913 z: 0
x: 0.952236 y: 0.0791699 z: 0
x: 0.951884 y: 0.0795491 z: 0
x: 0.951532 y: 0.0799287 z: 0
x: 0.951178 y: 0.0803088 z: 0
x: 0.950824 y: 0.0806893 z: 0
x: 0.950469 y: 0.0810704 z: 0
x: 0.950113 y: 0.081452 z: 0
x: 0.949756 y: 0.081834 z: 0
x: 0.949398 y: 0.0822166 z: 0
x: 0.94904 y: 0.0825996 z: 0
x: 0.94868 y: 0.0829832 z: 0
x: 0.94832 y: 0.0833672 z: 0
x: 0.947959 y: 0.0837517 z: 0
x: 0.947598 y: 0.0841367 z: 0
x: 0.947235 y: 0.0845223 z: 0
x: 0.946872 y: 0.0849083 z: 0
x: 0.946508 y: 0.0852948 z: 0
x: 0.946143 y: 0.0856819 z: 0
x: 0.945777 y: 0.0860694 z: 0
x: 0.945411 y: 0.0864574 z: 0
x: 0.945043 y: 0.086846 z: 0
x: 0.944675 y: 0.087235 z: 0
x: 0.944307 y: 0.0876246 z: 0
x: 0.943937 y: 0.0880147 z: 0
x: 0.943567 y: 0.0884053 z: 0
x: 0.943196 y: 0.0887964 z: 0
x: 0.942824 y: 0.089188 z: 0
x: 0.942452 y: 0.0895801 z: 0
x: 0.942079 y: 0.0899727 z: 0
x: 0.941705 y: 0.0903659 z: 0
x: 0.94133 y: 0.0907595 z: 0
x: 0.940955 y: 0.0911537 z: 0
x: 0.940579 y: 0.0915484 z: 0
x: 0.940202 y: 0.0919436 z: 0
x: 0.939825 y: 0.0923394 z: 0
x: 0.939447 y: 0.0927357 z: 0
x: 0.939068 y: 0.0931324 z: 0
x: 0.938689 y: 0.0935298 z: 0
x: 0.938308 y: 0.0939276 z: 0
x: 0.937928 y: 0.094326 z: 0
x: 0.937546 y: 0.0947249 z: 0
x: 0.937164 y: 0.0951243 z: 0
x: 0.936781 y: 0.0955242 z: 0
x: 0.936398 y: 0.0959247 z: 0
x: 0.936014 y: 0.0963257 z: 0
x: 0.935629 y: 0.0967273 z: 0
x: 0.935244 y: 0.0971294 z: 0
x: 0.934858 y: 0.097532 z: 0
x: 0.934471 y: 0.0979352 z: 0
x: 0.934084 y: 0.0983388 z: 0
x: 0.933696 y: 0.0987431 z: 0
x: 0.933307 y: 0.0991479 z: 0
x: 0.932918 y: 0.0995532 z: 0
x: 0.932529 y: 0.099959 z: 0
x: 0.932138 y: 0.100365 z: 0
x: 0.931748 y: 0.100772 z: 0
x: 0.931356 y: 0.10118 z: 0
x: 0.930964 y: 0.101588 z: 0
x: 0.930572 y: 0.101996 z: 0
x: 0.930178 y: 0.102406 z: 0
x: 0.929785 y: 0.102815 z: 0
x: 0.92939 y: 0.103226 z: 0
x: 0.928996 y: 0.103636 z: 0
x: 0.9286 y: 0.104048 z: 0
x: 0.928204 y: 0.10446 z: 0
x: 0.927808 y: 0.104872 z: 0
x: 0.927411 y: 0.105285 z: 0
x: 0.927013 y: 0.105698 z: 0
x: 0.926615 y: 0.106113 z: 0
x: 0.926217 y: 0.106527 z: 0
x: 0.925818 y: 0.106943 z: 0
x: 0.925418 y: 0.107358 z: 0
x: 0.925018 y: 0.107775 z: 0
x: 0.924618 y: 0.108192 z: 0
x: 0.924217 y: 0.108609 z: 0
x: 0.923815 y: 0.109027 z: 0
x: 0.923413 y: 0.109446 z: 0
x: 0.92301 y: 0.109865 z: 0
x: 0.922607 y: 0.110285 z: 0
x: 0.922204 y: 0.110705 z: 0
x: 0.9218 y: 0.111126 z: 0
x: 0.921396 y: 0.111547 z: 0
x: 0.920991 y: 0.111969 z: 0
x: 0.920586 y: 0.112392 z: 0
x: 0.92018 y: 0.112815 z: 0
x: 0.919774 y: 0.113239 z: 0
x: 0.919367 y: 0.113663 z: 0
x: 0.91896 y: 0.114088 z: 0
x: 0.918553 y: 0.114514 z: 0
x: 0.918145 y: 0.11494 z: 0
x: 0.917737 y: 0.115367 z: 0
x: 0.917328 y: 0.115794 z: 0
x: 0.916919 y: 0.116222 z: 0
x: 0.91651 y: 0.11665 z: 0
x: 0.9161 y: 0.117079 z: 0
x: 0.915689 y: 0.117509 z: 0
x: 0.915279 y: 0.117939 z: 0
x: 0.914868 y: 0.11837 z: 0
x: 0.914456 y: 0.118801 z: 0
x: 0.914045 y: 0.119233 z: 0
